ID	YEAR	RA	MRW	MINRW	MAXRW	MRADDIST	CNO	CD	CTA	RCTA	MLA	MINLA	MAXLA	KH	KS	RVGI	RVSF	RGSGV	AOIAR	RAOIAR	CWTPI	CWTBA	CWTLE	CWTRI	CWTTAN	CWTRAD	CWTALL	RTSR	CTSR	DH	DH2	DRAD	DTAN	TB2	CWA	RWD
YAM_2756_1_1	1967	1.096	500	415	572	500	1145	1044.74	0.430	39.24	376	7	2456	1.38952E-08	0.012678	NA	NA	NA	NA	NA	4.77	4.72	5.23	5.20	4.67	5.19	4.94	2.12	1.81	38.71	26.34	20.24	17.99	0.6317	427	0.676
YAM_2756_1_1	1968	1.185	536	497	567	1036	1081	912.16	0.642	54.14	594	8	1940	2.01278E-08	0.016984	NA	NA	NA	NA	NA	3.21	3.17	3.59	3.58	3.17	3.54	3.36	0.86	0.77	36.29	29.32	28.87	23.45	0.1130	399	0.481
YAM_2756_1_1	1969	1.482	669	649	698	1708	1281	864.46	0.860	58.03	671	7	2519	3.07169E-08	0.020729	NA	NA	NA	NA	NA	3.20	3.18	3.48	3.54	3.18	3.50	3.34	0.98	0.85	38.68	31.20	32.66	22.78	0.1592	385	0.469
YAM_2756_1_1	1970	0.721	325	306	353	2034	661	917.08	0.402	55.82	609	11	2117	1.39646E-08	0.019375	NA	NA	NA	NA	NA	2.79	2.74	3.16	3.18	2.76	3.15	2.95	0.91	0.70	38.19	30.32	28.47	24.41	0.0703	334	0.449
YAM_2756_1_1	1971	0.666	301	272	326	2336	608	912.70	0.373	56.06	614	9	2016	1.35089E-08	0.020279	NA	NA	NA	NA	NA	3.11	3.14	3.54	3.57	3.10	3.57	3.34	1.53	0.98	38.58	30.68	28.25	24.19	0.3649	359	0.483
YAM_2756_1_1	1972	1.147	519	486	574	2857	933	813.18	0.639	55.67	685	6	2289	2.41257E-08	0.021027	NA	NA	NA	NA	NA	3.51	3.49	3.97	3.94	3.48	3.93	3.71	1.35	1.03	39.37	31.79	31.54	23.51	0.1845	421	0.497
YAM_2756_1_1	1973	0.763	345	326	367	3203	798	1046.38	0.386	50.60	484	7	1755	1.29404E-08	0.016968	NA	NA	NA	NA	NA	3.49	3.46	3.95	3.96	3.43	3.95	3.69	1.90	1.26	37.39	28.38	23.27	22.00	0.2314	354	0.578
YAM_2756_1_1	1974	1.147	520	498	555	3723	908	791.89	0.629	54.87	693	6	2073	2.46657E-08	0.021512	NA	NA	NA	NA	NA	3.63	3.68	4.13	4.03	3.65	4.11	3.88	1.44	1.13	39.49	32.28	31.03	24.04	0.3151	454	0.473
YAM_2756_1_1	1975	0.757	343	319	395	4067	718	948.14	0.341	45.08	475	12	2807	1.06073E-08	0.014007	NA	NA	NA	NA	NA	3.70	3.64	4.42	4.49	3.63	4.42	4.03	1.24	1.08	36.82	27.76	23.29	22.78	0.1890	416	0.559
YAM_2756_1_1	1976	1.972	894	858	935	4962	1454	737.28	1.034	52.41	711	6	2400	4.21845E-08	0.021390	NA	NA	NA	NA	NA	4.24	4.31	4.53	4.54	4.30	4.56	4.48	1.76	1.43	40.59	32.76	32.00	22.84	0.5639	520	0.482
YAM_2756_1_1	1977	1.197	543	526	572	5504	1010	843.65	0.609	50.90	603	5	2885	2.27083E-08	0.018968	NA	NA	NA	NA	NA	3.88	3.88	4.45	4.46	3.85	4.46	4.16	1.66	1.33	39.31	30.75	27.84	22.37	0.3638	458	0.532
YAM_2756_1_1	1978	1.634	740	719	786	6247	1164	712.41	0.906	55.44	778	6	2506	3.55942E-08	0.021785	NA	NA	NA	NA	NA	3.35	3.36	3.84	3.84	3.33	3.85	3.59	1.22	0.97	40.40	33.04	35.76	23.67	0.1842	455	0.475
YAM_2756_1_1	1979	1.287	583	532	626	6833	1023	794.72	0.620	48.15	606	6	2212	2.26729E-08	0.017614	NA	NA	NA	NA	NA	3.41	3.43	3.97	3.99	3.43	4.03	3.75	1.45	1.16	38.56	30.69	27.87	23.02	0.3241	415	0.466
