ID	CID	YEAR	LA	RADDIST	ANGLE	XCAL	YCAL	XPIX	YPIX	RADDISTR	RRADDISTR	NBRNO	NBRID	NBRDST	ASP	MAJAX	KH	AOI	CWTPI	CWTBA	CWTLE	CWTRI	CWTTAN	CWTRAD	CWTALL	RTSR	CTSR	DH	DRAD	DTAN	TB2	CWA	RWD
YAM_2756_2_2	1	1940	158.06	66165.3	179.297	812.19	66160.34	4342	19	13	3.47	NA	NA	NA	1.04	41.36	9.89705E-13	NA	NA	6.47	NA	NA	6.47	NA	6.47	1.805	1.825	14.18	14.35	14.02	0.8525	NA	NA
YAM_2756_2_2	2	1940	215.17	66167.3	179.188	937.95	66160.64	4627	19	15	4.08	NA	NA	NA	1.29	89.55	1.7172E-12	NA	NA	6.22	7.77	6.17	6.22	6.97	6.60	1.692	1.595	16.28	14.71	18.62	0.4469	NA	NA
YAM_2756_2_2	3	1940	210.46	66163.8	180.213	-246.31	66163.32	1941	25	11	1.71	NA	NA	NA	1.37	21.07	1.59499E-12	NA	NA	4.95	5.20	NA	4.95	5.20	5.08	1.168	1.241	15.97	16.96	15.80	0.3766	NA	NA
YAM_2756_2_2	4	1940	237.10	66163.6	180.115	-132.33	66163.42	2200	26	11	1.76	NA	NA	NA	1.18	0.10	2.16426E-12	NA	NA	6.28	NA	8.60	6.28	8.60	7.44	1.345	1.713	17.26	18.70	16.15	0.6059	NA	NA
YAM_2756_2_2	5	1940	350.80	66166.2	180.354	-409.09	66164.96	1572	29	14	2.10	NA	NA	NA	1.06	14.70	4.86346E-12	NA	NA	4.92	6.72	5.53	4.92	6.13	5.53	0.917	1.046	21.11	21.49	20.79	0.2245	NA	NA
YAM_2756_2_2	6	1940	80.10	66160.4	180.057	-65.60	66160.41	2351	19	8	1.30	NA	NA	NA	1.73	36.87	1.98995E-13	NA	NA	3.86	NA	NA	3.86	NA	3.86	1.712	1.528	9.40	9.01	11.31	0.4653	NA	NA
YAM_2756_2_2	7	1940	141.83	66163.7	179.927	83.98	66163.69	2690	26	11	1.86	NA	NA	NA	1.12	69.97	7.87333E-13	NA	3.42	-5.78	NA	4.15	3.42	4.15	3.78	1.043	1.127	13.40	13.11	13.77	0.2463	NA	NA
YAM_2756_2_2	8	1940	170.95	66170.0	179.073	1071.01	66161.33	4929	21	18	5.25	NA	NA	NA	1.38	68.10	1.04843E-12	NA	NA	5.21	NA	5.29	5.21	5.29	5.25	1.652	1.424	14.38	12.62	17.25	0.3651	NA	NA
YAM_2756_2_2	9	1940	244.62	66168.6	180.737	-851.43	66163.09	569	25	16	2.06	NA	NA	NA	1.15	88.16	2.32107E-12	NA	NA	4.05	4.96	4.44	4.05	4.70	4.37	0.977	0.991	17.56	16.57	18.80	0.1854	NA	NA
YAM_2756_2_2	10	1940	131.49	66162.6	179.964	41.12	66162.55	2593	24	10	1.67	NA	NA	NA	1.34	13.98	6.31436E-13	NA	NA	5.66	NA	NA	5.66	NA	5.66	1.515	1.751	12.67	14.96	11.19	1.0239	NA	NA
YAM_2756_2_2	11	1940	123.12	66170.1	179.107	1031.65	66162.10	4839	23	18	5.11	NA	NA	NA	1.30	3.18	5.60415E-13	NA	NA	6.92	NA	6.37	6.92	6.37	6.65	1.957	2.123	12.30	14.15	11.08	0.8103	NA	NA
YAM_2756_2_2	12	1940	240.93	66170.6	180.633	-731.00	66166.52	842	33	18	2.42	NA	NA	NA	1.17	8.23	2.24267E-12	NA	NA	5.16	NA	5.35	5.16	5.35	5.26	1.092	1.201	17.41	18.91	16.23	0.3206	NA	NA
YAM_2756_2_2	13	1940	344.30	66165.4	179.857	164.82	66165.22	2874	30	13	2.30	NA	NA	NA	1.24	88.64	4.48051E-12	NA	NA	5.77	NA	4.88	5.77	4.88	5.32	1.218	1.017	20.70	18.94	23.15	0.2482	NA	NA
YAM_2756_2_2	14	1940	85.93	66171.5	180.925	-1068.07	66162.88	78	24	19	2.26	NA	NA	NA	1.82	20.53	2.20377E-13	NA	NA	4.85	5.10	5.19	4.85	5.14	5.00	1.400	1.911	9.60	13.86	7.89	0.5508	NA	NA
YAM_2756_2_2	15	1940	18.75	66166.2	179.141	991.67	66158.80	4749	15	14	3.87	NA	NA	NA	1.51	22.17	1.19726E-14	NA	NA	6.01	7.18	5.91	6.01	6.54	6.28	4.781	5.138	4.69	5.03	4.75	6.4014	NA	NA
YAM_2756_2_2	16	1940	73.77	66163.5	179.528	544.59	66161.23	3735	21	11	2.50	NA	NA	NA	1.10	47.50	2.13728E-13	NA	NA	4.74	NA	NA	4.74	NA	4.74	1.927	1.957	9.67	9.84	9.54	0.9868	NA	NA
YAM_2756_2_2	17	1940	144.70	66172.6	180.817	-943.12	66165.84	361	31	20	2.48	NA	NA	NA	1.44	4.43	7.33243E-13	NA	NA	5.62	5.88	7.42	5.62	6.65	6.14	1.396	1.808	13.13	16.11	11.44	0.6812	NA	NA
YAM_2756_2_2	18	1940	234.24	66168.5	179.735	306.44	66167.83	3195	36	16	3.12	NA	NA	NA	1.35	8.89	1.99509E-12	NA	NA	5.47	5.48	5.81	5.47	5.64	5.56	1.152	1.287	16.89	18.99	15.70	0.3533	NA	NA
YAM_2756_2_2	19	1940	17.50	66161.6	179.718	325.39	66160.79	3238	20	9	1.78	NA	NA	NA	1.06	80.87	1.2105E-14	NA	NA	4.52	NA	4.63	4.52	4.63	4.58	3.946	3.877	4.72	4.58	4.86	3.4580	NA	NA
