ID	YEAR	RA	MRW	MINRW	MAXRW	MRADDIST	CNO	CD	CTA	RCTA	MLA	MINLA	MAXLA	KH	KS	RVGI	RVSF	RGSGV	AOIAR	RAOIAR	CWTPI	CWTBA	CWTLE	CWTRI	CWTTAN	CWTRAD	CWTALL	RTSR	CTSR	DH	DH2	DRAD	DTAN	TB2	CWA	RWD
YAM_2756_2_1	1945	1.607	668	634	700	668	1367	850.51	0.549	34.13	401	6	2779	1.81811E-08	0.011312	NA	NA	NA	NA	NA	4.80	4.82	5.13	5.16	4.84	5.17	5.06	2.48	1.89	38.50	26.98	20.47	19.07	0.7553	454	0.616
YAM_2756_2_1	1946	2.011	830	795	854	1499	1703	846.72	0.918	45.65	539	8	2490	3.17108E-08	0.015766	NA	NA	NA	NA	NA	4.05	4.00	4.40	4.47	3.97	4.38	4.18	1.17	1.05	38.79	29.37	24.92	23.34	0.2313	435	0.602
YAM_2756_2_1	1947	1.118	462	441	482	1960	1378	1233.07	0.512	45.83	372	6	1982	1.52182E-08	0.013618	NA	NA	NA	NA	NA	3.63	3.61	4.40	4.46	3.59	4.44	4.02	1.92	1.37	36.99	25.78	17.96	21.63	0.2779	344	0.623
YAM_2756_2_1	1948	2.457	1014	983	1039	2975	1919	781.05	1.259	51.25	656	6	2464	4.76747E-08	0.019404	NA	NA	NA	NA	NA	3.98	4.03	4.48	4.44	3.99	4.43	4.22	1.36	1.14	39.63	31.53	30.55	23.09	0.2751	458	0.541
YAM_2756_2_1	1949	1.298	536	507	564	3511	1122	864.16	0.700	53.89	624	7	2209	2.54312E-08	0.019587	NA	NA	NA	NA	NA	3.28	3.33	3.88	3.89	3.29	3.86	3.57	1.29	0.96	38.47	30.88	27.81	24.89	0.1676	393	0.519
YAM_2756_2_1	1950	1.331	550	529	571	4061	1078	809.89	0.623	46.82	578	7	2288	2.35919E-08	0.017724	NA	NA	NA	NA	NA	4.04	4.07	4.58	4.58	4.06	4.60	4.36	1.82	1.32	39.31	30.65	26.01	23.46	0.3467	440	0.523
YAM_2756_2_1	1951	2.596	1072	1034	1110	5133	1961	755.30	1.260	48.52	642	5	2918	5.07575E-08	0.019550	NA	NA	NA	NA	NA	4.34	4.34	4.85	4.87	4.29	4.82	4.56	1.28	1.13	41.90	31.83	27.85	24.49	0.2634	488	0.593
YAM_2756_2_1	1952	2.825	1167	1137	1191	6300	2282	807.93	1.386	49.07	607	6	2607	5.03102E-08	0.017812	NA	NA	NA	NA	NA	4.21	4.21	4.65	4.65	4.18	4.60	4.40	1.28	1.14	39.27	30.62	28.22	23.05	0.2983	473	0.571
YAM_2756_2_1	1953	6.125	2527	2425	2622	8828	6807	1111.37	2.171	35.44	319	9	2760	5.01747E-08	0.008192	NA	NA	NA	NA	NA	5.41	5.42	5.71	5.72	5.39	5.71	5.55	1.52	1.60	33.78	23.34	19.27	17.66	0.6143	467	0.675
YAM_2756_2_1	1954	2.956	1214	1166	1288	10053	2771	937.29	1.147	38.79	414	5	2417	3.48085E-08	0.011774	NA	NA	NA	NA	NA	4.61	4.60	5.21	5.21	4.57	5.16	4.89	1.92	1.70	36.83	26.59	21.57	19.29	0.6510	424	0.659
YAM_2756_2_1	1955	4.452	1831	1767	1936	11894	3813	856.54	1.725	38.74	452	5	2802	5.23169E-08	0.011752	NA	NA	NA	NA	NA	5.11	5.09	5.44	5.43	5.04	5.42	5.23	1.68	1.62	37.49	27.07	24.92	18.36	0.5940	490	0.664
YAM_2756_2_1	1956	4.197	1730	1685	1801	13632	3210	764.82	1.844	43.94	574	5	2278	6.22553E-08	0.014833	NA	NA	NA	NA	NA	4.26	4.24	4.60	4.62	4.23	4.57	4.41	1.33	1.27	38.32	29.53	29.51	20.37	0.4200	449	0.585
